operator,vehicle_id,Earliest,Latest,days
Bird,d98e4e9b-8bfc-4afd-af7a-375cc814ed76,2018-05-29T13:33:00Z,2018-05-29T19:09:00Z,0.233333333333333
Bird,da319818-8400-476e-8793-113be3b9c9d0,2018-03-29T15:22:00Z,2018-03-29T23:24:00Z,0.334722222222222
Bird,da5c98b5-528c-4f1e-bd8e-5a7d170fbae6,2018-03-29T21:51:00Z,2018-03-30T00:20:00Z,0.103472222222222
Bird,db49fb9c-8780-4e9a-9556-cbf574ef87a1,2018-04-05T22:59:00Z,2018-04-06T00:01:00Z,0.0430555555555556
JUMP,21329,2018-05-30T18:27:00Z,2018-05-31T17:58:00Z,0.979861111111111
LimeBike,27627T2HLP3RW,2017-12-21T10:25:00Z,2017-12-21T10:27:00Z,0.00138888888888889
LimeBike,2NNKNBJWBL5QS,2018-04-28T14:08:00Z,2018-04-28T17:26:00Z,0.1375
LimeBike,2PE35X2FAJWX3,2018-05-22T15:15:00Z,2018-05-23T12:30:00Z,0.885416666666667
LimeBike,2VHOVWHQIB7N2,2018-01-30T00:14:00Z,2018-01-30T13:11:00Z,0.539583333333333
LimeBike,37DVL4LZBA37O,2018-03-07T12:36:00Z,2018-03-07T23:50:00Z,0.468055555555556
LimeBike,3DJ5AFA7WPQKZ,2018-02-14T20:08:00Z,2018-02-14T20:13:00Z,0.00347222222222222
LimeBike,3EJTCLFGAXVQM,2017-09-21T18:28:00Z,2017-09-21T18:36:00Z,0.00555555555555556
LimeBike,3LKRR44LCR6MW,2017-11-03T01:05:00Z,2017-11-03T01:21:00Z,0.0111111111111111
LimeBike,3SO6D7JVD2PC3,2018-02-18T15:42:00Z,2018-02-18T15:49:00Z,0.00486111111111111
LimeBike,3TLMNOL4FJ7UV,2017-10-13T23:47:00Z,2017-10-14T00:03:00Z,0.0111111111111111
LimeBike,3XFRQMLCDWZR6,2018-03-12T13:52:00Z,2018-03-12T18:33:00Z,0.195138888888889
LimeBike,3XWSGOXX25QJP,2017-10-30T16:24:00Z,2017-10-30T18:11:00Z,0.0743055555555556
LimeBike,3YSXKVP7HAJ3R,2018-05-22T13:08:00Z,2018-05-23T01:39:00Z,0.521527777777778
LimeBike,4CGXU74HYJJ4Q,2018-05-24T02:22:00Z,2018-05-24T02:23:00Z,0.000694444444444444
LimeBike,4FTTARC3S4LC7,2017-12-03T21:24:00Z,2017-12-04T01:08:00Z,0.155555555555556
LimeBike,4H7N3YSNDOPKA,2017-12-09T14:01:00Z,2017-12-09T14:05:00Z,0.00277777777777778
LimeBike,4LJCSI6JEHLII,2017-12-02T21:04:00Z,2017-12-03T15:00:00Z,0.747222222222222
LimeBike,4VBKN76PDYR3B,2017-10-28T00:46:00Z,2017-10-28T00:52:00Z,0.00416666666666667
LimeBike,4Z5PXCUTZDVUE,2018-02-04T02:10:00Z,2018-02-04T02:20:00Z,0.00694444444444444
LimeBike,522F6GJMXGOXH,2018-03-24T10:48:00Z,2018-03-24T19:36:00Z,0.366666666666667
LimeBike,557FQYEQ5X7NK,2017-09-24T17:03:00Z,2017-09-24T19:11:00Z,0.0888888888888889
LimeBike,5AERJ5ZOTCIVD,2018-04-28T13:39:00Z,2018-04-28T15:00:00Z,0.05625
LimeBike,5KLR3HF57OO4V,2017-12-31T22:19:00Z,2017-12-31T22:50:00Z,0.0215277777777778
LimeBike,5SWTM7IXDROFC,2017-12-05T20:28:00Z,2017-12-05T23:33:00Z,0.128472222222222
LimeBike,6CLJWUCEMSMZD,2018-01-09T18:05:00Z,2018-01-09T18:08:00Z,0.00208333333333333
LimeBike,73OUHGNJ2NUQ6,2018-01-22T10:24:00Z,2018-01-22T10:28:00Z,0.00277777777777778
LimeBike,77ZC4M3KKOXQO,2017-09-23T23:47:00Z,2017-09-24T22:15:00Z,0.936111111111111
LimeBike,7FDPHZSFBFTSS,2018-02-02T17:04:00Z,2018-02-02T17:09:00Z,0.00347222222222222
LimeBike,7GNMDCW2EPVME,2017-10-27T01:12:00Z,2017-10-27T18:05:00Z,0.703472222222222
LimeBike,7UML564IESPJH,2017-09-25T21:51:00Z,2017-09-25T23:24:00Z,0.0645833333333333
LimeBike,AMV75TDAYUF66,2018-03-05T15:57:00Z,2018-03-05T16:03:00Z,0.00416666666666667
LimeBike,ATHB5EE3YL6ZK,2018-03-22T22:42:00Z,2018-03-23T22:00:00Z,0.970833333333333
LimeBike,AUXG6KAL35CPO,2017-10-08T13:28:00Z,2017-10-09T04:12:00Z,0.613888888888889
LimeBike,AWH32ANT7LGE6,2017-12-12T05:43:00Z,2017-12-12T06:02:00Z,0.0131944444444444
LimeBike,BNVO3QSBNWQW4,2018-03-10T03:03:00Z,2018-03-11T01:55:00Z,0.952777777777778
LimeBike,BQPK5DVS4POND,2018-03-09T21:59:00Z,2018-03-09T22:08:00Z,0.00625
LimeBike,BSWIYQ5QQPJ64,2017-11-18T17:48:00Z,2017-11-18T23:13:00Z,0.225694444444444
LimeBike,BU4DLMLQ42VAW,2018-04-28T14:56:00Z,2018-04-28T15:53:00Z,0.0395833333333333
LimeBike,CB62V6PUQTD2D,2017-10-28T18:30:00Z,2017-10-28T19:20:00Z,0.0347222222222222
LimeBike,CBK2ERR5JRPPT,2018-02-17T21:20:00Z,2018-02-17T21:29:00Z,0.00625
LimeBike,CCO5FMJZ2BACE,2018-05-17T10:28:00Z,2018-05-17T10:32:00Z,0.00277777777777778
LimeBike,CERSDVI3XT2ID,2017-12-26T14:27:00Z,2017-12-26T14:32:00Z,0.00347222222222222
LimeBike,CLGCNWHT4ZTUV,2017-10-27T00:06:00Z,2017-10-27T12:09:00Z,0.502083333333333
LimeBike,D3V5BCI2RYF6R,2018-01-20T06:44:00Z,2018-01-20T07:11:00Z,0.01875
LimeBike,D3VCFUO7CJZGE,2017-10-17T22:22:00Z,2017-10-18T17:50:00Z,0.811111111111111
LimeBike,D5LP2IESNLDDX,2017-09-21T07:15:00Z,2017-09-22T01:55:00Z,0.777777777777778
LimeBike,DCJ7V3I6KE2PV,2018-01-24T01:51:00Z,2018-01-24T01:54:00Z,0.00208333333333333
LimeBike,DJ5DIQCYNXO76,2017-12-06T21:55:00Z,2017-12-06T22:01:00Z,0.00416666666666667
LimeBike,DJYELEE3BJHSJ,2018-05-04T17:44:00Z,2018-05-04T20:52:00Z,0.130555555555556
LimeBike,DU2ISIF4E6BAW,2017-12-08T01:04:00Z,2017-12-08T01:14:00Z,0.00694444444444444
LimeBike,DVQ76NCFQLIJP,2018-05-22T11:33:00Z,2018-05-22T18:47:00Z,0.301388888888889
LimeBike,DY5ND4K6ZXDEV,2017-12-15T13:50:00Z,2017-12-15T17:42:00Z,0.161111111111111
LimeBike,E6MCAFXLQVFZX,2018-01-19T01:36:00Z,2018-01-19T01:45:00Z,0.00625
LimeBike,EEAF76YSTC7S2,2017-10-30T12:19:00Z,2017-10-30T12:37:00Z,0.0125
LimeBike,EERKFM2PYO6ZJ,2017-11-08T15:55:00Z,2017-11-08T16:08:00Z,0.00902777777777778
LimeBike,EFC5VH3VDGHHX,2018-03-30T22:19:00Z,2018-03-31T19:55:00Z,0.9
LimeBike,EFHYHLFXDXOBH,2018-01-11T17:34:00Z,2018-01-11T18:26:00Z,0.0361111111111111
